customer_id,months_as_customer,age,policy_state,policy_deductable,policy_annual_premium,insured_sex,capital-gains,capitalloss,incident_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_model
10177,155,34,IN,500,1706.79,MALE,0,0,Single Vehicle Collision,Minor Damage,Ambulance,1,1,NO,1,1,YES,77040,8560,8560,59920,Civic
10178,261,45,IL,1000,1254.18,FEMALE,0,45100,Single Vehicle Collision,Minor Damage,Fire,16,1,YES,0,1,?,62590,11380,11380,39830,Jetta
10179,245,40,IN,500,885.08,FEMALE,27000,58900,Single Vehicle Collision,Total Loss,Other,0,1,YES,0,1,NO,85150,13100,13100,58950,Malibu
10180,235,39,IL,500,1046.58,MALE,0,31700,Vehicle Theft,Trivial Damage,None,1,1,?,2,1,NO,4950,450,900,3600,Silverado
10181,53,36,OH,2000,1712.68,MALE,72200,0,Multi-vehicle Collision,Major Damage,Fire,17,3,?,2,0,YES,51100,10220,5110,35770,A3
10182,426,54,IL,2000,1097.71,FEMALE,29600,22300,Single Vehicle Collision,Minor Damage,Police,13,1,YES,2,3,?,100800,16800,16800,67200,Neon
10183,111,27,IN,500,1363.77,FEMALE,51100,0,Single Vehicle Collision,Total Loss,Police,12,1,YES,2,3,NO,90970,16540,16540,57890,RSX
10184,86,26,OH,500,1382.88,MALE,0,30300,Single Vehicle Collision,Minor Damage,Police,11,1,?,1,1,YES,81840,14880,7440,59520,Malibu
10185,296,46,OH,1000,1141.35,MALE,0,0,Single Vehicle Collision,Major Damage,Ambulance,18,1,?,0,2,NO,54900,5490,5490,43920,C300
10186,125,35,OH,500,1054.83,MALE,0,51300,Single Vehicle Collision,Total Loss,Fire,17,1,YES,2,3,NO,88660,8060,16120,64480,C300
10187,177,34,IL,2000,1057.77,FEMALE,0,57700,Multi-vehicle Collision,Total Loss,Ambulance,22,3,?,1,1,NO,18000,2250,2250,13500,A3
10188,238,39,IN,2000,1488.02,FEMALE,0,39200,Vehicle Theft,Minor Damage,Police,9,1,YES,1,3,YES,5500,1100,550,3850,Tahoe
10189,81,25,IN,500,920.3,FEMALE,51000,67900,Multi-vehicle Collision,Major Damage,Other,11,3,?,1,0,?,73920,13440,6720,53760,Civic
10190,128,28,OH,1000,986.53,FEMALE,62700,0,Single Vehicle Collision,Total Loss,Ambulance,11,1,NO,0,2,YES,101860,18520,18520,64820,CRV
10191,449,57,OH,2000,1440.68,MALE,25000,0,Parked Car,Minor Damage,None,8,1,YES,0,1,YES,5390,980,980,3430,Passat
10192,252,39,IN,1000,1086.21,MALE,68500,57500,Single Vehicle Collision,Minor Damage,Police,18,1,?,1,2,?,50490,5610,5610,39270,Maxima
10193,359,47,OH,2000,1367.68,FEMALE,0,0,Single Vehicle Collision,Total Loss,Police,13,1,NO,0,3,NO,55500,5550,11100,38850,C300
10194,19,32,OH,1000,1215.85,MALE,42900,90200,Vehicle Theft,Minor Damage,Police,8,1,YES,1,1,YES,7040,1280,640,5120,Maxima
10195,73,26,IL,2000,1191.19,MALE,29300,0,Multi-vehicle Collision,Total Loss,Other,9,3,?,0,1,YES,40160,5020,0,35140,Tahoe
10196,285,44,IL,1000,1594.45,MALE,0,0,Multi-vehicle Collision,Total Loss,Fire,17,2,YES,2,3,NO,55680,6960,6960,41760,95
10197,196,36,IN,2000,1463.07,MALE,0,0,Vehicle Theft,Trivial Damage,Police,3,1,?,1,1,NO,5300,530,530,4240,Grand Cherokee
10198,223,43,OH,500,1734.09,FEMALE,0,0,Parked Car,Trivial Damage,None,6,1,YES,0,3,?,5200,650,650,3900,MDX
10199,328,48,IL,500,1411.43,MALE,45100,32800,Single Vehicle Collision,Major Damage,Ambulance,17,1,YES,2,1,NO,59400,5940,11880,41580,Civic
10200,285,43,OH,2000,1512.58,FEMALE,47600,0,Vehicle Theft,Minor Damage,Police,7,1,?,1,1,?,2520,280,280,1960,3 Series
10201,30,31,IL,2000,1153.35,MALE,0,0,Vehicle Theft,Trivial Damage,Police,9,1,NO,2,1,YES,5760,960,960,3840,Impreza
10202,342,49,OH,500,1722.95,MALE,63100,13800,Single Vehicle Collision,Minor Damage,Fire,3,1,?,2,0,YES,76700,7670,7670,61360,Legacy
10203,219,39,IN,2000,1281.07,FEMALE,0,0,Parked Car,Trivial Damage,Police,6,1,NO,0,2,NO,5920,740,740,4440,Malibu
10204,468,62,IL,500,1011.92,MALE,0,0,Multi-vehicle Collision,Major Damage,Fire,7,3,YES,0,3,?,64350,7150,7150,50050,Tahoe
10205,241,39,IL,2000,1042.26,MALE,0,0,Multi-vehicle Collision,Total Loss,Ambulance,21,3,NO,1,2,?,19080,4240,2120,12720,93
10206,223,43,OH,500,1235.1,FEMALE,66400,34400,Single Vehicle Collision,Minor Damage,Police,14,1,NO,2,1,NO,54400,5440,5440,43520,M5
10207,128,32,OH,2000,768.91,FEMALE,0,39300,Single Vehicle Collision,Total Loss,Fire,0,1,?,1,0,NO,59800,5980,5980,47840,F150
10208,124,29,OH,500,1301.72,MALE,0,0,Multi-vehicle Collision,Major Damage,Police,14,3,?,0,3,YES,72000,7200,7200,57600,A3
10209,343,48,IN,500,1451.54,MALE,0,0,Multi-vehicle Collision,Total Loss,Police,13,4,NO,2,3,NO,65070,7230,14460,43380,C300
10210,404,53,IN,500,767.14,MALE,25500,36700,Parked Car,Trivial Damage,Police,8,1,NO,0,1,NO,8800,1760,880,6160,Legacy
10211,63,24,OH,2000,1620.89,FEMALE,0,0,Vehicle Theft,Minor Damage,Police,7,1,NO,2,0,NO,6120,1020,1020,4080,Corolla
10212,210,37,IN,2000,1048.46,MALE,59900,0,Vehicle Theft,Trivial Damage,None,9,1,?,1,2,?,7080,1180,590,5310,RAM
10213,335,50,OH,1000,1538.26,MALE,62200,31400,Multi-vehicle Collision,Minor Damage,Ambulance,12,3,YES,2,3,YES,34320,8580,4290,21450,Passat
10214,11,40,OH,2000,1217.69,FEMALE,24000,0,Multi-vehicle Collision,Major Damage,Other,6,3,?,1,0,?,53460,9720,9720,34020,Neon
10215,142,33,IN,2000,1362.64,FEMALE,0,0,Single Vehicle Collision,Total Loss,Other,11,1,YES,1,3,?,81360,6780,13560,61020,Legacy
10216,272,43,OH,1000,1279.13,MALE,0,0,Multi-vehicle Collision,Minor Damage,Ambulance,5,3,?,1,2,YES,81070,7370,14740,58960,A3
10217,69,26,IL,2000,924.72,FEMALE,0,0,Single Vehicle Collision,Minor Damage,Fire,14,1,NO,2,2,NO,63120,5260,10520,47340,A5
10218,38,28,OH,1000,1019.44,MALE,0,39700,Vehicle Theft,Trivial Damage,None,17,1,?,2,1,NO,7200,1440,720,5040,X5
10219,328,46,IL,500,1314.6,FEMALE,24800,0,Single Vehicle Collision,Total Loss,Other,0,1,?,2,3,?,70290,12780,6390,51120,92x
10220,281,43,OH,1000,1515.18,MALE,0,0,Multi-vehicle Collision,Minor Damage,Fire,21,3,NO,1,0,NO,60190,9260,9260,41670,X6
10221,246,44,OH,2000,1649.18,MALE,0,58600,Single Vehicle Collision,Major Damage,Other,18,1,YES,1,2,YES,61380,11160,5580,44640,Civic
10222,298,49,OH,500,1451.01,FEMALE,47800,0,Single Vehicle Collision,Minor Damage,Ambulance,17,1,NO,2,2,NO,28100,2810,5620,19670,Grand Cherokee
10223,330,50,IL,1000,978.46,FEMALE,0,0,Single Vehicle Collision,Total Loss,Fire,19,1,YES,0,0,NO,49060,8920,8920,31220,Silverado
10224,362,50,IL,500,1198.34,MALE,53000,72500,Multi-vehicle Collision,Total Loss,Fire,17,3,?,1,1,NO,57060,6340,6340,44380,E400
10225,241,38,IN,2000,1003.23,FEMALE,0,0,Multi-vehicle Collision,Major Damage,Fire,23,3,?,0,3,YES,77880,12980,12980,51920,MDX
10226,245,41,IN,2000,1212,MALE,24400,60500,Single Vehicle Collision,Total Loss,Ambulance,4,1,YES,0,1,YES,73500,7350,14700,51450,Wrangler
10227,371,52,IL,1000,1242.96,FEMALE,0,37100,Multi-vehicle Collision,Minor Damage,Other,2,2,YES,2,0,?,88920,6840,13680,68400,RSX
10228,343,52,IL,1000,1053.02,FEMALE,0,0,Single Vehicle Collision,Major Damage,Other,2,1,?,0,2,NO,47630,12990,4330,30310,Corolla
10229,377,53,IL,500,1693.63,FEMALE,0,64000,Multi-vehicle Collision,Total Loss,Fire,10,3,YES,1,3,NO,59040,6560,6560,45920,93
10230,154,37,IL,1000,2047.59,FEMALE,0,67800,Single Vehicle Collision,Minor Damage,Other,2,1,?,0,3,NO,79530,14460,7230,57840,MDX
10231,166,34,OH,1000,1083.72,FEMALE,65600,68200,Single Vehicle Collision,Total Loss,Other,18,1,NO,0,2,YES,53680,4880,4880,43920,CRV
10232,298,46,OH,1000,1138.42,MALE,36900,55000,Single Vehicle Collision,Minor Damage,Police,18,1,NO,2,3,YES,33550,3050,6100,24400,Passat
10233,235,42,IN,500,1072.62,FEMALE,39900,60200,Multi-vehicle Collision,Total Loss,Other,7,4,?,2,1,YES,69100,6910,6910,55280,Highlander
10234,172,35,IL,2000,1219.04,MALE,63600,68700,Multi-vehicle Collision,Major Damage,Police,19,3,?,2,0,NO,79750,14500,14500,50750,Pathfinder
10235,27,28,IN,2000,1371.78,MALE,0,32500,Multi-vehicle Collision,Major Damage,Other,10,3,?,0,2,YES,53600,5360,10720,37520,A5
10236,428,54,IN,2000,1506.21,MALE,0,24400,Multi-vehicle Collision,Minor Damage,Fire,16,3,NO,1,0,?,76560,12760,6380,57420,Ultima
10237,99,32,IN,1000,1058.21,MALE,0,0,Single Vehicle Collision,Total Loss,Fire,17,1,YES,1,1,NO,41130,4570,4570,31990,RAM
10238,107,26,IL,2000,932.14,MALE,40600,0,Multi-vehicle Collision,Total Loss,Fire,2,3,NO,2,3,NO,78650,14300,7150,57200,A3
10239,272,41,OH,2000,1608.34,FEMALE,33300,10600,Single Vehicle Collision,Major Damage,Other,19,1,?,1,1,?,71060,6460,12920,51680,92x
10240,151,37,IN,1000,1728.56,FEMALE,54000,0,Single Vehicle Collision,Minor Damage,Fire,0,1,YES,1,1,?,38830,3530,3530,31770,Legacy
10241,249,43,IL,1000,1518.46,FEMALE,0,0,Single Vehicle Collision,Major Damage,Fire,16,1,?,0,0,YES,53500,5350,5350,42800,92x
10242,177,38,IL,2000,1540.19,FEMALE,0,74500,Single Vehicle Collision,Major Damage,Other,20,1,YES,2,0,NO,73700,7370,7370,58960,Silverado
10243,190,40,OH,2000,965.21,FEMALE,36900,53700,Parked Car,Trivial Damage,None,10,1,?,2,1,YES,6300,630,630,5040,Ultima
10244,174,36,IL,2000,1278.75,FEMALE,53200,53800,Multi-vehicle Collision,Total Loss,Ambulance,21,3,?,2,2,NO,65400,10900,10900,43600,RAM
10245,95,28,OH,1000,773.99,MALE,0,70300,Vehicle Theft,Trivial Damage,None,3,1,YES,1,2,NO,3200,640,320,2240,E400
10246,371,51,IN,1000,1532.47,FEMALE,60300,24700,Single Vehicle Collision,Major Damage,Fire,7,1,YES,0,3,YES,75400,7540,15080,52780,RAM
10247,2,28,IL,1000,1340.56,FEMALE,0,0,Single Vehicle Collision,Minor Damage,Fire,19,1,YES,0,2,YES,58140,6460,6460,45220,92x
10248,269,44,OH,500,1297.75,FEMALE,0,41400,Multi-vehicle Collision,Total Loss,Ambulance,15,3,?,0,1,?,98670,15180,15180,68310,Tahoe
10249,101,27,IL,1000,433.33,MALE,25900,0,Parked Car,Minor Damage,None,7,1,?,0,3,NO,5900,1180,590,4130,E400
10250,94,30,IN,2000,1025.54,FEMALE,0,52600,Single Vehicle Collision,Major Damage,Fire,19,1,?,1,3,YES,64100,6410,6410,51280,Malibu
10251,117,28,OH,500,1264.77,FEMALE,47500,32500,Multi-vehicle Collision,Total Loss,Fire,13,2,YES,0,1,?,55440,5040,10080,40320,Forrestor
10252,111,27,OH,500,1459.97,MALE,0,0,Multi-vehicle Collision,Major Damage,Police,2,3,NO,1,2,NO,80850,7350,14700,58800,F150
10253,242,40,OH,500,1238.65,FEMALE,0,44600,Vehicle Theft,Trivial Damage,Police,5,1,YES,1,1,NO,7480,680,680,6120,95
10254,440,61,OH,500,1050.76,MALE,41500,70200,Single Vehicle Collision,Major Damage,Fire,21,1,?,2,3,NO,53640,5960,5960,41720,Maxima
10255,20,23,OH,1000,1711.72,FEMALE,0,0,Multi-vehicle Collision,Major Damage,Fire,21,3,NO,2,2,NO,63250,5750,11500,46000,Tahoe
10256,461,57,IL,500,865.33,FEMALE,0,0,Multi-vehicle Collision,Major Damage,Ambulance,7,3,NO,0,1,?,59040,9840,9840,39360,RAM
10257,208,36,IL,500,1153.49,MALE,0,0,Multi-vehicle Collision,Total Loss,Other,16,3,YES,1,0,YES,50500,10100,5050,35350,TL
10258,279,43,OH,2000,1281.25,MALE,0,0,Single Vehicle Collision,Major Damage,Police,13,1,YES,0,1,NO,57690,6410,12820,38460,C300
10259,244,40,IL,500,1342.8,FEMALE,0,0,Vehicle Theft,Trivial Damage,Police,2,1,YES,1,3,YES,5940,660,660,4620,Camry
10260,134,30,OH,2000,1443.32,FEMALE,0,0,Multi-vehicle Collision,Major Damage,Fire,19,3,?,0,2,YES,47790,5310,5310,37170,Impreza
10261,122,29,OH,1000,1629.94,FEMALE,0,47100,Parked Car,Trivial Damage,None,17,1,?,0,1,NO,3850,350,350,3150,Neon
10262,156,31,IL,2000,1134.08,MALE,0,0,Single Vehicle Collision,Major Damage,Police,3,1,?,2,0,?,59000,5900,5900,47200,Fusion
10263,232,43,OH,500,1483.91,MALE,0,33600,Multi-vehicle Collision,Major Damage,Ambulance,17,3,NO,0,1,?,70600,7060,14120,49420,Passat
10264,244,40,IN,2000,1304.67,MALE,0,45000,Multi-vehicle Collision,Minor Damage,Police,5,3,?,1,1,?,61490,5590,11180,44720,RAM
10265,84,30,IL,2000,1035.79,FEMALE,44400,51500,Single Vehicle Collision,Minor Damage,Police,9,1,NO,1,0,YES,57640,5240,10480,41920,Passat
10266,394,57,IL,500,1401.2,FEMALE,51500,0,Vehicle Theft,Trivial Damage,Police,9,1,NO,1,0,NO,6890,1060,1060,4770,A5
10267,246,45,IL,1000,1665.45,MALE,34400,33100,Multi-vehicle Collision,Major Damage,Fire,9,3,?,2,2,?,53280,11840,5920,35520,Camry
10268,35,29,IN,2000,653.66,FEMALE,52100,46900,Multi-vehicle Collision,Minor Damage,Fire,22,3,NO,0,0,?,78300,15660,7830,54810,X5
10269,156,37,OH,500,1080.13,MALE,0,61000,Multi-vehicle Collision,Major Damage,Ambulance,15,3,YES,0,3,NO,41490,4610,4610,32270,Pathfinder
10270,195,36,IN,2000,1346.18,FEMALE,57800,53300,Multi-vehicle Collision,Total Loss,Fire,14,3,YES,2,3,YES,68970,12540,6270,50160,Tahoe
10271,369,55,OH,2000,1589.54,MALE,55400,0,Multi-vehicle Collision,Minor Damage,Police,6,3,?,2,0,YES,85300,17060,8530,59710,Highlander
10272,271,40,IL,1000,1251.65,FEMALE,71200,0,Parked Car,Minor Damage,None,6,1,NO,0,0,NO,3080,560,280,2240,A3
10273,332,47,IL,2000,1083.01,MALE,91900,0,Multi-vehicle Collision,Major Damage,Police,22,4,YES,2,0,?,71760,11040,11040,49680,Grand Cherokee
10274,107,26,OH,500,974.59,FEMALE,62800,0,Multi-vehicle Collision,Minor Damage,Ambulance,14,3,?,1,0,NO,59700,11940,11940,35820,Ultima
10275,217,39,IL,2000,1399.85,FEMALE,49900,19800,Multi-vehicle Collision,Minor Damage,Fire,16,3,NO,0,2,?,64920,10820,10820,43280,Fusion
10276,243,43,IN,500,1307.74,FEMALE,0,75700,Multi-vehicle Collision,Major Damage,Ambulance,10,3,?,0,1,NO,37530,4170,4170,29190,Wrangler
10277,296,42,IN,2000,1219.27,MALE,53100,63400,Multi-vehicle Collision,Total Loss,Ambulance,9,3,YES,1,2,NO,64080,7120,7120,49840,93
10278,264,41,OH,500,1411.3,MALE,55600,0,Single Vehicle Collision,Minor Damage,Other,4,1,NO,1,0,?,60390,10980,5490,43920,M5
10279,108,33,IL,2000,694.45,FEMALE,0,0,Multi-vehicle Collision,Major Damage,Police,6,3,?,0,1,YES,64350,5850,11700,46800,Pathfinder
10280,32,38,IL,500,1006.77,FEMALE,0,0,Multi-vehicle Collision,Minor Damage,Police,15,3,YES,2,1,YES,70900,14180,7090,49630,X6
10281,259,39,OH,1000,1422.36,FEMALE,0,83900,Multi-vehicle Collision,Minor Damage,Fire,12,3,NO,1,3,?,46560,7760,7760,31040,Ultima
10282,186,33,IN,1000,1348.32,FEMALE,37600,37600,Vehicle Theft,Trivial Damage,Police,3,1,NO,2,1,?,4730,860,860,3010,Malibu
10283,201,40,OH,2000,1315.56,FEMALE,0,0,Vehicle Theft,Minor Damage,Police,14,1,YES,0,0,YES,6820,1240,1240,4340,Grand Cherokee
10284,436,58,OH,2000,1407.01,MALE,47400,27600,Single Vehicle Collision,Major Damage,Police,10,1,?,0,2,?,59900,11980,5990,41930,X5
10285,189,36,OH,2000,1388.58,FEMALE,0,49400,Multi-vehicle Collision,Major Damage,Police,17,3,?,1,3,YES,79560,13260,13260,53040,Escape
10286,105,33,IL,500,1310.76,FEMALE,0,40900,Single Vehicle Collision,Total Loss,Other,8,1,YES,0,1,?,70290,12780,6390,51120,MDX
10287,163,31,IN,1000,1004.63,MALE,26900,0,Multi-vehicle Collision,Total Loss,Ambulance,14,3,YES,2,0,NO,63910,5810,11620,46480,Forrestor
10288,219,40,OH,500,1134.91,FEMALE,68700,0,Vehicle Theft,Trivial Damage,None,6,1,?,1,0,NO,6400,640,640,5120,Camry
10289,88,25,IN,1000,1194,FEMALE,0,0,Single Vehicle Collision,Major Damage,Ambulance,6,1,YES,1,2,YES,66780,7420,7420,51940,Escape
10290,40,39,IN,1000,1248.25,FEMALE,0,33300,Parked Car,Minor Damage,Police,8,1,NO,0,2,?,8760,1460,1460,5840,3 Series
10291,284,42,OH,500,1338.54,MALE,0,0,Single Vehicle Collision,Major Damage,Ambulance,13,1,YES,0,1,?,94160,8560,17120,68480,Malibu
10292,59,40,IL,2000,782.23,MALE,64200,32300,Multi-vehicle Collision,Total Loss,Ambulance,0,3,?,0,2,NO,51570,5730,11460,34380,X5
10293,39,31,IL,2000,1366.9,FEMALE,0,15700,Multi-vehicle Collision,Major Damage,Fire,14,3,?,1,0,NO,52700,10540,10540,31620,X6
10294,147,34,IL,1000,1275.81,MALE,0,48300,Single Vehicle Collision,Minor Damage,Fire,13,1,YES,2,2,?,101010,15540,15540,69930,ML350
10295,156,37,IN,500,1090.65,MALE,0,51800,Multi-vehicle Collision,Minor Damage,Police,16,4,?,1,2,YES,53400,5340,5340,42720,Civic
10296,123,31,IN,500,1326,FEMALE,0,54600,Single Vehicle Collision,Total Loss,Fire,13,1,?,1,2,NO,72120,12020,12020,48080,ML350
10297,231,43,IL,2000,972.47,MALE,0,58100,Multi-vehicle Collision,Minor Damage,Police,15,3,YES,2,2,YES,77100,7710,15420,53970,A3
10298,247,39,IL,500,806.31,FEMALE,0,0,Parked Car,Trivial Damage,Police,3,1,?,2,3,?,3300,600,0,2700,RAM
10299,194,35,IL,500,1416.24,FEMALE,0,0,Parked Car,Minor Damage,None,7,1,YES,1,0,?,5940,1080,540,4320,Pathfinder
10300,119,27,IN,2000,1097.64,MALE,27100,0,Multi-vehicle Collision,Major Damage,Other,16,2,NO,1,0,?,63720,7080,21240,35400,TL
10301,259,43,IL,500,947.75,FEMALE,0,39300,Vehicle Theft,Trivial Damage,Police,15,1,NO,1,3,NO,7680,1280,640,5760,A5
10302,107,31,IL,2000,1018.73,MALE,20000,82700,Multi-vehicle Collision,Total Loss,Police,21,3,YES,1,2,?,93730,14420,21630,57680,CRV
10303,48,44,IL,2000,1400.74,MALE,34000,55600,Multi-vehicle Collision,Major Damage,Police,23,3,YES,0,2,?,87300,17460,17460,52380,Wrangler
10304,267,40,IL,500,1155.53,MALE,0,35200,Parked Car,Trivial Damage,Police,5,1,?,0,2,NO,5670,1260,630,3780,F150
10305,286,47,IN,500,1386.93,MALE,54100,77600,Multi-vehicle Collision,Minor Damage,Other,15,3,YES,0,0,NO,65800,13160,6580,46060,TL
10306,175,34,OH,500,915.29,FEMALE,82400,57100,Single Vehicle Collision,Major Damage,Other,14,1,?,2,1,YES,36720,4080,4080,28560,Accord
10307,111,29,IL,500,1239.55,FEMALE,0,0,Single Vehicle Collision,Major Damage,Fire,1,1,?,1,1,YES,52800,4800,9600,38400,ML350
10308,151,37,IN,500,1366.42,FEMALE,44000,0,Multi-vehicle Collision,Total Loss,Fire,14,3,NO,1,2,YES,59100,5910,5910,47280,Maxima
10309,156,37,OH,1000,1086.48,MALE,0,53800,Multi-vehicle Collision,Total Loss,Other,17,3,?,1,1,YES,77440,14080,7040,56320,Legacy
10310,165,36,IL,2000,1247.87,MALE,0,39700,Multi-vehicle Collision,Total Loss,Fire,20,3,NO,2,2,NO,45700,4570,4570,36560,3 Series
10311,253,41,OH,2000,1312.75,FEMALE,81300,0,Multi-vehicle Collision,Major Damage,Other,10,3,NO,2,2,YES,80740,7340,14680,58720,Camry
10312,10,26,IN,2000,765.64,MALE,0,22200,Multi-vehicle Collision,Major Damage,Ambulance,3,3,?,0,3,?,31350,2850,5700,22800,Accord
10313,158,33,OH,2000,1327.41,FEMALE,0,38600,Single Vehicle Collision,Total Loss,Other,0,1,?,0,0,?,35000,3500,7000,24500,Legacy
10314,436,59,OH,1000,1338.55,MALE,39000,0,Multi-vehicle Collision,Total Loss,Police,10,3,?,2,2,NO,68000,13600,6800,47600,Corolla
10315,91,30,IL,2000,1316.63,FEMALE,43900,0,Multi-vehicle Collision,Minor Damage,Other,13,3,YES,2,0,?,84500,13000,13000,58500,X6
10316,256,42,IL,1000,1286.44,FEMALE,0,39500,Single Vehicle Collision,Minor Damage,Police,14,1,NO,2,1,?,75500,7550,15100,52850,Ultima
10317,274,46,OH,1000,1372.18,MALE,0,0,Multi-vehicle Collision,Total Loss,Other,22,3,NO,1,3,?,90600,15100,15100,60400,X5
10318,275,45,IN,2000,1447.77,FEMALE,39400,63900,Multi-vehicle Collision,Total Loss,Ambulance,8,3,YES,1,1,?,64320,5360,10720,48240,MDX
10319,1,33,IL,500,903.32,FEMALE,0,0,Multi-vehicle Collision,Minor Damage,Police,1,3,?,1,0,?,31700,6340,3170,22190,Highlander
10320,85,30,IN,1000,1454.42,MALE,51600,73900,Single Vehicle Collision,Major Damage,Other,19,1,YES,0,1,YES,74280,12380,12380,49520,Forrestor
10321,233,37,IL,2000,1603.42,FEMALE,61600,30200,Single Vehicle Collision,Total Loss,Fire,17,1,YES,0,2,YES,80520,13420,6710,60390,Corolla
10322,142,30,IN,2000,1616.58,MALE,58500,46800,Multi-vehicle Collision,Major Damage,Other,13,3,YES,0,3,YES,63600,6360,12720,44520,RAM
10323,266,44,IL,500,1611.83,MALE,0,0,Single Vehicle Collision,Total Loss,Police,4,1,?,1,2,YES,32800,3280,3280,26240,3 Series
10324,350,50,OH,500,889.13,FEMALE,0,0,Multi-vehicle Collision,Total Loss,Police,14,3,NO,0,2,NO,44190,9820,4910,29460,A3
10325,97,26,IL,1000,1252.08,MALE,0,0,Multi-vehicle Collision,Major Damage,Other,4,2,YES,2,2,NO,50400,10080,5040,35280,CRV
10326,399,55,IL,2000,995.56,MALE,0,65400,Multi-vehicle Collision,Total Loss,Police,23,3,YES,1,1,YES,88400,17680,8840,61880,Pathfinder
10327,305,49,IL,2000,1347.92,FEMALE,0,42100,Multi-vehicle Collision,Total Loss,Fire,21,3,YES,0,2,?,66550,12100,6050,48400,Jetta
10328,276,47,IN,1000,1724.09,MALE,0,0,Multi-vehicle Collision,Minor Damage,Police,23,3,YES,0,0,?,65780,5980,11960,47840,Tahoe
10329,257,40,IN,500,1379.93,MALE,0,0,Multi-vehicle Collision,Major Damage,Other,6,3,?,0,2,YES,51810,9420,4710,37680,A3
10330,78,31,IN,1000,1554.64,MALE,0,27900,Single Vehicle Collision,Major Damage,Other,21,1,NO,1,0,NO,55660,5060,10120,40480,CRV
10331,129,28,OH,1000,1377.94,MALE,0,0,Single Vehicle Collision,Major Damage,Fire,23,1,?,2,3,?,44640,9920,4960,29760,Camry
10332,283,46,IL,2000,1313.33,FEMALE,53500,73600,Multi-vehicle Collision,Major Damage,Ambulance,3,3,?,1,3,NO,77660,7060,14120,56480,Maxima
10333,85,25,IN,500,1259.02,FEMALE,67000,53600,Parked Car,Trivial Damage,None,8,1,NO,2,2,?,5640,940,940,3760,Ultima
10334,101,26,IL,1000,1371.88,FEMALE,0,0,Parked Car,Trivial Damage,None,4,1,?,2,2,?,3190,580,580,2030,Legacy
10335,96,30,OH,500,1399.27,MALE,38900,48700,Single Vehicle Collision,Total Loss,Fire,22,1,?,0,0,YES,53440,0,6680,46760,Escape
10336,121,31,IL,1000,1061.98,FEMALE,0,0,Single Vehicle Collision,Minor Damage,Police,16,1,NO,0,1,YES,65250,7250,7250,50750,3 Series
10337,176,39,OH,500,1365.46,MALE,0,56600,Multi-vehicle Collision,Minor Damage,Fire,14,3,NO,2,1,NO,44280,4920,4920,34440,Silverado
10338,159,37,IL,1000,894.4,MALE,0,53700,Single Vehicle Collision,Total Loss,Police,13,1,YES,2,0,NO,70290,7810,7810,54670,RAM
10339,120,30,IN,500,956.69,FEMALE,39600,64300,Single Vehicle Collision,Minor Damage,Other,20,1,?,1,1,YES,87100,8710,8710,69680,92x
10340,212,35,IN,2000,1123.89,MALE,35400,49200,Multi-vehicle Collision,Total Loss,Fire,0,3,?,1,3,?,50380,4580,4580,41220,Forrestor
10341,290,45,IL,500,1085.03,FEMALE,0,61000,Multi-vehicle Collision,Total Loss,Police,23,3,YES,2,2,NO,64800,12960,6480,45360,A3
10342,299,42,OH,2000,1437.33,FEMALE,25000,0,Single Vehicle Collision,Minor Damage,Other,13,1,YES,1,3,NO,70400,12800,12800,44800,3 Series
10343,66,26,IL,1000,988.29,MALE,0,0,Single Vehicle Collision,Major Damage,Police,8,1,?,2,2,YES,57860,0,10520,47340,Impreza
10344,334,47,IL,500,1238.89,MALE,0,0,Vehicle Theft,Minor Damage,None,3,1,?,0,3,NO,6240,960,960,4320,Fusion
10345,216,38,IN,1000,1384.64,FEMALE,0,0,Single Vehicle Collision,Total Loss,Police,16,1,?,2,3,NO,66600,16650,11100,38850,Grand Cherokee
10346,86,28,IN,2000,1595.07,MALE,75800,0,Single Vehicle Collision,Minor Damage,Police,19,1,YES,0,2,YES,70920,11820,11820,47280,Wrangler
10347,429,56,OH,1000,1127.89,MALE,67400,43800,Single Vehicle Collision,Minor Damage,Ambulance,0,1,YES,2,0,YES,39480,6580,6580,26320,Forrestor
10348,257,43,IN,2000,929.7,FEMALE,46400,74300,Single Vehicle Collision,Total Loss,Other,12,1,?,2,2,YES,63240,10540,5270,47430,E400
10349,15,34,IL,1000,1829.63,MALE,56700,0,Multi-vehicle Collision,Total Loss,Other,21,3,YES,1,0,?,67650,12300,6150,49200,A5
10350,230,39,IL,1000,904.7,FEMALE,68600,22300,Single Vehicle Collision,Major Damage,Fire,0,1,?,1,3,NO,74200,14840,14840,44520,TL
10351,250,43,OH,1000,1243.84,FEMALE,47900,73400,Single Vehicle Collision,Minor Damage,Other,22,1,YES,1,3,NO,64900,12980,12980,38940,Jetta
10352,270,44,IL,2000,1030.95,FEMALE,47200,0,Multi-vehicle Collision,Major Damage,Ambulance,20,3,?,1,0,NO,35900,7180,3590,25130,A3
10353,65,26,IN,500,1285.03,FEMALE,0,41500,Single Vehicle Collision,Minor Damage,Fire,0,1,NO,1,3,?,52200,5220,10440,36540,CRV
